id,name,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
0,Bitcoin,56646.560822706124,36525572318.24162,5.3068,0.47755518,-0.31863895,-4.40114874,-8.6089784,32.23107548,17.99273675,1069574870501.9668,41.6525,1189577777276.83,2021-11-24T05:04:02.000Z
1,Ethereum,4269.104274915439,21726454823.97369,12.8302,0.62105913,2.39021344,3.39353068,3.09081333,44.94876234,34.89242027,505735083970.866,19.6931,505735083970.87,2021-11-24T05:04:03.000Z
2,Binance Coin,583.8190445450789,2979339861.482297,42.3577,0.45301506,2.95738483,0.77646475,21.14812007,62.33227749,18.19694651,97381686854.3823,3.792,97381686854.38,2021-11-24T05:03:33.000Z
3,Tether,1.0004894779407731,85277264758.68884,11.3842,-0.00200985,-0.02616892,-0.06154177,0.03226149,-0.04196388,0.00175702,72531028671.18759,2.8243,76394426764.31,2021-11-24T05:03:35.000Z
4,Solana,219.05115399088103,2360629407.622044,-16.7347,0.1782526,-0.37240307,1.45165374,7.13591533,54.21423757,207.08215599,66542765752.91099,2.5927,111628272442.04,2021-11-24T05:04:05.000Z
5,Cardano,1.6872697850305458,2153773470.1730094,47.3233,0.43374148,-7.0643593,-8.71029859,-21.02891242,-28.92631588,-36.50446851,56208434960.48429,2.1904,75927140326.37,2021-11-24T05:03:36.000Z
6,XRP,1.045541822632773,3118257357.72078,13.9352,0.43262277,-0.44445405,-3.1980728,-4.29716152,10.00766031,-8.7876853,49306680591.35004,1.9215,104554182263.28,2021-11-24T05:04:03.000Z
7,Polkadot,39.619412110947685,1148420268.9952977,-2.712,0.17944409,0.1608685,-0.97837232,-8.54508357,25.59203992,56.13861139,39127311871.53215,1.5236,43712234916.13,2021-11-24T05:04:06.000Z
8,USD Coin,1.0002896750544914,4864321864.446934,-0.3258,-0.12016108,-0.0621943,-0.00170835,0.01168421,-0.01274845,0.0058354,36732904019.31001,1.4304,36732904019.31,2021-11-24T05:03:06.000Z
9,Dogecoin,0.22360322486742912,1979328097.2583046,116.9173,0.5023601,0.18698967,-4.65052032,-17.31613702,5.63211837,-21.56350134,29568429337.400745,1.1521,29568429337.4,2021-11-24T05:04:03.000Z
10,Avalanche,121.89948908384972,1947912983.308269,-31.306,2.23504587,-8.92227861,28.48335778,83.9436448,70.56339154,169.00971317,27287486209.325363,1.0634,87767632140.37,2021-11-24T05:03:28.000Z
11,SHIBA INU,4.050151155886995e-05,2044192604.4433045,17.6343,0.2590028,-8.07388879,-16.21143791,-0.91223751,448.27758296,451.58832181,22237596015.93447,0.8659,23885250906.31,2021-11-24T05:03:34.000Z
12,Crypto.com Coin,0.8608742540054906,1804173264.0213916,5.5846,0.79201603,11.27236274,117.61297183,341.01292302,435.6606447,459.6319186,21748278066.030994,0.8469,26052649336.06,2021-11-24T05:04:07.000Z
13,Terra,41.234981615172096,639833810.2726434,-2.5658,-0.55607721,-0.32811588,-2.94522184,-4.53976156,6.39907713,44.61382089,16452546259.070477,0.6407,36115646774.78,2021-11-24T05:03:03.000Z
14,Litecoin,212.42629304134672,1901149650.4625294,3.7382,1.00875858,1.07894079,-6.49869978,9.61959214,37.42091967,23.16662019,14666005772.695503,0.5715,17843808615.47,2021-11-24T05:04:02.000Z
15,Wrapped Bitcoin,56204.79235040635,357678274.68403804,19.586,0.36538809,-0.44770861,-3.3717717,-9.3566075,31.2732027,17.03332755,14004991652.919727,0.5458,14004991652.92,2021-11-24T05:04:07.000Z
16,Uniswap,21.88199333131058,247020532.54804316,-19.7992,0.45275973,1.72644369,2.33620105,-16.75272333,9.6032691,-17.34853976,13738770975.181576,0.535,21881993331.31,2021-11-24T05:03:35.000Z
17,Binance USD,0.9998785712456574,6962524867.485786,10.9495,-0.06690443,-0.0709482,-0.05269037,-0.04398256,-0.04772177,-0.04682679,12917310479.870844,0.5034,12917310479.87,2021-11-24T05:03:27.000Z
18,Chainlink,26.32099267879481,838641372.6192235,-0.4944,0.07336583,-2.22258207,-7.97402382,-14.14994732,12.50605761,1.63669749,12292155049.588793,0.4789,26320992678.79,2021-11-24T05:03:35.000Z
19,Polygon,1.7049502363518676,1196995551.374648,62.6692,0.7792539,6.25581101,11.0308604,4.74722721,49.42803014,16.16152813,11877847764.815716,0.4626,17049502363.52,2021-11-24T05:03:34.000Z
20,Algorand,1.8334122551278815,497051436.3933958,17.9861,1.52434291,4.89897931,7.80434167,-1.20026293,2.05307576,79.09485204,11478123956.346273,0.447,18334122551.28,2021-11-24T05:03:36.000Z
